t,mid,q,x,pnl,sigma,spread
1.72285e+09,0.0065064,157,0.550794,1.5723,3.06737e-06,2.0001e-06
1.72285e+09,0.0064562,153,0.576811,1.56461,3.3569e-06,2.00361e-06
1.72285e+09,0.00632937,173,0.450074,1.54506,3.89368e-06,2.0041e-06
1.72285e+09,0.0062478,155,0.563182,1.53159,3.97474e-06,2.00349e-06
1.72285e+09,0.0062634,127,0.73808,1.53353,3.58998e-06,2.0022e-06
1.72285e+09,0.00618985,163,0.512704,1.52165,3.71411e-06,2.00166e-06
1.72285e+09,0.00619548,155,0.56214,1.52244,4.11758e-06,2.0012e-06
1.72286e+09,0.0061367,173,0.451126,1.51278,3.88472e-06,2.00031e-06
1.72286e+09,0.00602489,176,0.434337,1.49472,3.68543e-06,2.00449e-06
1.72286e+09,0.00616354,182,0.399655,1.52142,4.35374e-06,2.00532e-06
1.72286e+09,0.00600621,191,0.345967,1.49315,4.66155e-06,2.00501e-06
1.72286e+09,0.00595509,209,0.240035,1.48465,4.64104e-06,2.00389e-06
1.72286e+09,0.0059077,220,0.174676,1.47437,4.70269e-06,2.00289e-06
1.72286e+09,0.00608403,215,0.207182,1.51525,4.41697e-06,2.00157e-06
1.72286e+09,0.00619843,236,0.0795894,1.54242,4.35939e-06,2.00058e-06
1.72286e+09,0.00627312,306,-0.353377,1.5662,4.68361e-06,2.00747e-06
1.72286e+09,0.00635302,388,-0.87454,1.59043,5.90752e-06,2.01014e-06
1.72286e+09,0.00618358,441,-1.20622,1.52074,5.74481e-06,2.00794e-06
1.72286e+09,0.0060693,461,-1.32967,1.46827,4.49077e-06,2.00384e-06
1.72286e+09,0.0061911,430,-1.13985,1.52232,4.93622e-06,2.00343e-06
1.72286e+09,0.00626099,451,-1.27509,1.54862,5.49382e-06,2.00274e-06
1.72286e+09,0.00620466,486,-1.49385,1.52162,5.38274e-06,2.00118e-06
1.72286e+09,0.00608339,501,-1.58501,1.46277,5.0675e-06,2.00901e-06
1.72286e+09,0.00621911,507,-1.62411,1.52898,4.95851e-06,2.00739e-06
1.72286e+09,0.00613257,529,-1.76088,1.48325,4.44347e-06,2.00495e-06
1.72286e+09,0.0060173,561,-1.95347,1.42224,4.16354e-06,2.00348e-06
1.72286e+09,0.0064227,575,-2.03501,1.65804,7.10658e-06,2.00761e-06
1.72287e+09,0.00643301,589,-2.12579,1.66325,8.65442e-06,2.00754e-06
1.72287e+09,0.00669779,550,-1.87067,1.81312,7.32422e-06,2.00272e-06
1.72287e+09,0.00675878,542,-1.81645,1.84681,6.91082e-06,2.00003e-06
1.72287e+09,0.00678499,556,-1.91151,1.86095,8.14517e-06,2.02062e-06
1.72287e+09,0.00686559,530,-1.73304,1.90572,7.19691e-06,2.01351e-06
1.72287e+09,0.00690405,507,-1.5737,1.92666,4.7569e-06,2.00477e-06
1.72287e+09,0.00687102,532,-1.74506,1.91032,4.56345e-06,2.00335e-06
1.72287e+09,0.00704086,499,-1.51719,1.9962,4.75958e-06,2.00251e-06
1.72287e+09,0.00704624,515,-1.62782,2.001,4.63881e-06,2.00131e-06
1.72287e+09,0.00701079,524,-1.69117,1.98249,4.32469e-06,2.0002e-06
1.72287e+09,0.00698993,546,-1.84411,1.97239,4.09095e-06,2.00534e-06
1.72287e+09,0.00709592,514,-1.61896,2.02834,4.09027e-06,2.0045e-06
1.72287e+09,0.0070297,548,-1.85956,1.99271,4.2647e-06,2.00398e-06
1.72287e+09,0.00702664,523,-1.68309,1.99184,4.183e-06,2.00296e-06
1.72287e+09,0.00714202,464,-1.26583,2.04807,3.76347e-06,2.00169e-06
1.72287e+09,0.00712846,498,-1.50871,2.04126,3.81217e-06,2.001e-06
1.72287e+09,0.00715575,490,-1.45191,2.05441,3.84161e-06,2.00028e-06
1.72287e+09,0.00717616,498,-1.50836,2.06537,4.0404e-06,2.00537e-06
1.72287e+09,0.00749462,497,-1.50066,2.22416,7.11667e-06,2.01413e-06
1.72287e+09,0.00748105,573,-2.06536,2.22128,7.44796e-06,2.01271e-06
1.72288e+09,0.00752234,570,-2.04216,2.24557,5.24332e-06,2.00492e-06
1.72288e+09,0.00728383,601,-2.27179,2.10579,5.03652e-06,2.00327e-06
1.72288e+09,0.00728604,578,-2.10318,2.10815,4.52098e-06,2.00162e-06
